title,epi,page,tb,words
EJ08,005,00002,1,"['YOU', 'KEPT', 'SAYING', 'YOU', 'WANTED', 'TO', 'WIN', 'SO', 'WHY', ""DIDN'T"", 'YOU', 'WITH', 'THE', 'THIRTEEN', 'ORPHANS']"
EJ07,001,00009,2,"['THE', 'EARTH', 'ISA', 'SINGLE', 'LIVING', 'ORGANISM']"
EJ08,009,00004,0,[]
EJ02,003,00004,2,"['The', 'man', 'who', 'just', 'played', ""He's"", 'a', 'lot', 'better', 'than', 'his', 'opponent']"
EJ04,005,00002,8,[]
EJ09,002,00002,1,[]
EJ09,008,00005,7,['YES']
EJ09,003,00007,12,"['THERE', 'IS', 'NO', 'WAY', 'IAM', 'WATCHING', 'THIS', 'ROMANTIC', 'MOVIE', 'ALL', 'BY', 'MYSELF']"
EJ09,010,00007,6,['HMM']
EJ09,006,00008,9,"['WELL', 'TO', 'TELL', 'THE', 'TRUTH']"
EJ09,005,00005,24,"[""IT'S"", 'DIS-', 'SOLVING', 'IN', 'MY', 'MOUTH']"
EJ01,007,00001,8,"['HIS', 'MAJESTY', 'NEVER', 'WrOR', 'MES', 'I', ""ME'2E"", '\\\\', 'pee', '\\']"
EJ02,006,00006,5,"[""WHAT'RE"", 'yOU', 'DOING']"
EJ10,006,00008,4,[]
EJ10,002,00007,12,"['ABDOM-', 'INAL', '|', 'INJUR']"
EJ02,001,00008,9,"['This', 'of', 'course', 'has', 'nothing', 'to', 'do', 'with', 'game', 'play', 'A', 'player', 'need', 'just', 'explain', 'the', 'situation', 'and', 'return', 'the', 'misplaced', 'stone', 'to', 'his', 'opponent\xe2\x80\x99s', 'Go', 'bowl', 'However', 'that', 'A', 'scoundrel']"
EJ10,004,00007,13,"[""IT'S"", 'BECAUSE', 'OF', 'THAT', 'OPERA-', 'TION']"
EJ02,008,00008,7,"[""AKIRA'S"", 'FATHER']"
EJ03,002,00011,15,[]
EJ10,008,00008,6,"['DID', 'YOU', 'REALLY', 'THINK', ""I'D"", 'KEEP', 'ACTING', 'ALL', 'NICE', 'AND', 'FRIENDLY']"
EJ03,004,00005,11,"['WHAT', 'COULD', '/T', 'BE', 'DOES', 'HE', 'WANT', 'SOMETHING', 'I', 'HAVE']"
EJ05,004,00012,4,"['FOR', 'TAKING', 'ADVANTAGE', 'OF', 'YOUR', ""STUDENT'S"", 'WEAKNESS', 'AND', 'INSTIGATING', 'A', 'CRIMINAL', 'ACT', 'I', 'SENTENCE', 'YOU', 'HOMEROOM', 'TEACHER', 'AKANE', 'AKIMOTO', 'PO', '(00', 'LAPS', 'oF', 'FANP', 'WACTING', 'THs', 'HALL', '(SLOGR']"
EJ03,006,00001,1,"['LEY', 'C/A', 'THERE', '\xc2\xa7', 'NO', 'WAY', 'HE', 'S/', 'HERE']"
EJ06,004,00008,21,"[""IT's"", 'A', 'Bit', 'EARLY', 'FOR', 'LUNCH']"
EJ01,001,00001,4,"['AN', 'INFLUX', 'OF', 'ALIENS', 'DISRUPTED', 'THE', 'PEACE']"
EJ03,008,00006,2,"['oo', 'OF', 'NOT']"
EJ06,003,00005,11,"['EMITS', 'A', 'STICKY', 'LIQUID', 'LIKE', 'SPIDER', 'SILK']"
EJ01,002,00004,11,"['YOU', 'LEFT', 'THE', 'CASTLE', 'WITHOUT', 'PERMISSION', 'TOOK', 'THE', 'ORGUE', 'WITH', 'yOu', 'AND', 'EVEN', 'IMPERSONATED', '\\', 'A', 'COMMONER']"
EJ05,007,00003,29,['=r']
EJ05,003,00002,8,"['YES', 'ANP', 'THERE', 'HAVE', 'BEEN', 'SUZUK/', 'CURSES', 'AROUND', 'WATER']"
EJ05,001,00010,1,"['To', 'those', 'classrooms', 'where', 'incidents', 'Occur']"
EJ06,006,00011,27,"['THEN', 'I', 'GUESS', 'IT\xe2\x80\x99S', 'NOT', 'A', 'TRAP', 'THING']"
EJ01,004,00006,25,[]
EJ05,008,00005,18,[]
EJ06,002,00002,8,[]
EJ02,005,00002,6,['HUH']
EJ05,009,00008,13,"['ANP', 'THEN', 'COMPLETELY', 'EXHAUSTED', 'I', 'COLLAPSED', 'IN', 'THE', 'HALL']"
